author,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,total,ratio
Aditya Kamath,0,0,0,0,0,0,0,0,0,1,0,1,1.000
Aditya Kanade,0,0,0,0,0,0,0,0,0,0,1,1,1.000
Aditya Krishna Menon,0,0,0,0,0,0,0,0,0,1,1,2,1.000
Aditya Pal,0,0,0,0,0,0,1,0,0,0,0,1,0.000
Aditya Tayal,0,0,0,0,0,1,0,0,0,0,0,1,0.000
Aditya Telang,0,0,0,0,0,0,0,0,1,0,0,1,1.000
Aditya Thyagarajan,0,0,0,0,0,0,0,0,0,1,0,1,1.000
Aditya V. Nori,0,0,0,0,0,0,0,1,0,1,0,2,0.500
Adnan Darwiche,0,5,0,1,0,1,1,0,2,2,0,12,0.333
Adrian Barbu,0,0,0,0,0,0,1,0,0,0,0,1,0.000
Adrian Benton,0,0,0,0,0,0,0,0,0,1,0,1,1.000
Adrian Boteanu,0,0,0,0,0,0,0,1,1,0,0,2,0.500
Adrian K. Agogino,0,1,0,0,0,0,0,0,0,0,0,1,0.000
Adrian Petcu,0,1,0,0,0,0,0,0,0,0,0,1,0.000
Adrian R. Pearce,0,0,0,0,0,0,0,0,1,1,0,2,1.000
Adrian Ratter,0,0,0,0,0,0,1,0,0,0,0,1,0.000
Adrian Silvescu,0,0,0,0,0,1,0,0,0,0,0,1,0.000
Adrian Vetta,0,0,0,0,0,0,0,1,0,0,0,1,0.000
Adriana Kovashka,0,0,0,0,0,1,0,0,0,0,0,1,0.000
Adwait Ratnaparkhi,0,0,0,0,0,0,0,1,0,0,0,1,0.000
Afsaneh Doryab,0,0,0,0,0,0,0,1,0,0,0,1,0.000
Afsaneh Shirazi,1,1,0,0,0,0,0,0,0,0,0,2,0.000
Afshin Rostamizadeh,0,0,0,0,0,0,0,0,1,0,0,1,1.000
Aftab Hasan,0,0,0,0,0,0,0,0,0,1,0,1,1.000
Aftab Khan,0,0,0,0,0,0,0,0,0,0,1,1,1.000
Aggrey Rwetsiba,0,0,0,0,0,0,0,0,0,1,0,1,1.000
Agim Ballvora,0,0,0,0,0,1,0,0,0,0,0,1,0.000
Agnieszka Lawrynowicz,0,0,0,0,0,0,0,0,1,0,0,1,1.000
Agostino Dovier,1,0,0,0,0,0,0,0,0,0,0,1,0.000
Ah-Hwee Tan,1,0,0,0,0,0,0,0,0,0,2,3,0.667
Ahmad Moazin,0,0,0,1,0,0,0,0,0,0,0,1,0.000
Ahmad S. Tajik,0,0,0,0,0,0,0,0,0,0,1,1,1.000
Ahmed Abdelkader Abdelrazek,0,0,0,0,0,1,0,0,0,0,0,1,0.000
Ahmed M. Alaa,0,0,0,0,0,0,0,0,0,0,1,1,1.000
Ahmed M. Elgammal,0,0,0,0,0,0,1,0,1,2,1,5,0.800
Ahmed Selim,0,0,0,0,0,0,0,0,0,1,0,1,1.000
Ahsanul Haque,0,0,0,0,0,0,0,0,0,1,0,1,1.000
Aidan Shafran,0,0,0,0,0,0,0,0,0,1,0,1,1.000
Aihua Zheng,0,0,0,0,0,1,0,0,0,0,0,1,0.000
Aining Yin,0,1,0,0,0,0,0,0,0,0,0,1,0.000
Aiqing Huang,0,0,0,0,0,0,0,0,1,0,0,1,1.000
Aishwarya N. Reganti,0,0,0,0,0,0,0,0,0,0,1,1,1.000
Aitor Soroa,0,0,0,0,0,0,0,0,0,1,0,1,1.000
Aixin Sun,0,0,0,0,0,0,0,0,1,0,0,1,1.000
Ajay Mani,1,0,0,0,0,0,0,0,0,0,0,1,0.000
Ajita John,0,0,0,0,0,1,0,0,0,0,0,1,0.000
Akihiro Kishimoto,0,0,0,1,1,1,0,0,0,0,0,3,0.000
Akihiro Tamura,0,0,0,0,0,0,0,0,0,0,1,1,1.000
Akihiro Yamamoto,0,0,0,0,0,0,0,1,0,1,0,2,0.500
Akihisa Sonoda,0,0,0,0,0,0,0,1,1,1,0,3,0.667
Akiko Aizawa,0,0,0,0,0,0,0,0,0,0,1,1,1.000
Akin Günay,0,0,0,0,0,0,0,0,1,0,0,1,1.000
Akisato Kimura,0,0,0,0,0,0,0,0,0,1,0,1,1.000
Akshat Kumar,0,1,0,0,0,1,0,0,0,2,3,7,0.714
Akshay Java,2,0,0,0,0,0,0,0,0,0,0,2,0.000
Akshay Narayan,0,0,0,0,0,0,0,0,0,0,2,2,1.000
Akshaya Thippur,0,0,0,0,0,0,0,0,1,0,0,1,1.000
Alain Berger,0,0,0,0,0,0,0,0,1,0,0,1,1.000
Alain Biem,0,0,0,0,0,0,0,0,1,0,0,1,1.000
Alain Vanasse,0,0,0,0,0,0,0,0,0,1,0,1,1.000
Alakananda Vempala,0,0,0,0,0,0,0,0,0,1,0,1,1.000
Alameen Najjar,0,0,0,0,0,0,0,0,0,0,1,1,1.000
Alan Berscheid,0,0,0,1,0,0,0,0,0,0,0,1,0.000
Alan C. Schultz,1,1,0,0,0,0,0,0,0,0,0,2,0.000
Alan Chappell,0,0,0,0,0,0,0,0,0,1,0,1,1.000
Alan Davoust,0,0,0,0,0,0,0,0,0,1,0,1,1.000
Alan F. Smeaton,0,0,0,0,0,0,0,0,0,1,0,1,1.000
Alan F. T. Winfield,0,0,0,0,0,0,0,0,1,0,0,1,1.000
Alan Fern,0,2,0,3,0,2,2,3,1,0,1,14,0.143
Alan J. Hu,0,0,0,0,0,0,0,0,1,0,0,1,1.000
Alan J. Vayda,0,1,0,0,0,0,0,0,0,0,0,1,0.000
Alan K. Mackworth,0,0,0,0,0,0,1,0,0,0,0,1,0.000
Alan Kinsella,0,0,0,0,0,0,0,0,0,1,0,1,1.000
Alan L. Yuille,0,0,0,0,0,0,0,0,0,2,1,3,1.000
Alan M. Frisch,0,0,0,0,1,0,0,0,0,0,0,1,0.000
Alan Mishchenko,0,0,0,0,0,0,0,0,0,1,0,1,1.000
Alan Paul Fern,0,0,0,0,0,0,0,1,0,0,0,1,0.000
Alan Ritter,0,0,0,0,0,0,0,0,1,0,0,1,1.000
Alan Tsang,0,0,0,0,0,0,1,0,0,0,0,1,0.000
Alan W. Black,0,0,0,0,0,0,0,0,0,0,1,1,1.000
Alban Grastien,1,0,0,0,1,0,0,0,0,0,1,3,0.333
Albert A. Rizzo,0,0,0,0,0,0,0,0,1,0,0,1,1.000
Albert J. Valocchi,0,0,0,0,0,0,0,1,1,0,0,2,0.500
Albert Murtha,0,1,0,0,0,0,0,0,0,0,0,1,0.000
Albert Pla,0,0,0,0,0,0,0,0,1,0,0,1,1.000
Albert Xin Jiang,1,0,0,0,0,0,0,2,1,0,1,5,0.400
Albert-László Barabási,0,0,0,0,0,0,0,1,0,0,0,1,0.000
Alberto Camacho,0,0,0,0,0,0,0,0,0,0,1,1,1.000
Alberto González-Sanchez,0,0,0,0,1,0,0,0,0,0,0,1,0.000
Alberto Maran,0,0,0,0,0,0,1,0,0,0,0,1,0.000
Alberto Quattrini Li,0,0,0,0,0,1,0,0,0,0,0,1,0.000
Alberto Venturini,0,1,0,0,0,0,0,0,0,0,0,1,0.000
Aldo Gangemi,0,0,0,0,0,0,0,0,0,0,1,1,1.000
Aldrian Obaja Muis,0,0,0,0,0,0,0,0,0,0,1,1,1.000
Aldy Gunawan,0,0,0,0,0,0,0,0,1,0,0,1,1.000
Alejandro Alliana,1,0,0,0,0,0,0,0,0,0,0,1,0.000
Alejandro Figueroa 0001,0,0,0,0,1,0,1,0,0,0,0,2,0.000
Alejandro Javier García,1,1,0,0,0,0,0,0,0,0,0,2,0.000
Alejandro López-Ortiz,0,1,0,0,0,0,0,0,0,0,0,1,0.000
Alejandro Molina,0,0,0,0,0,0,0,0,0,0,1,1,1.000
Aleksandr Farseev,0,0,0,0,0,0,0,0,0,0,2,2,1.000
Aleksandr M. Kazachkov,0,0,0,0,0,0,0,1,0,0,1,2,0.500
Alessandro Artale,1,0,0,1,0,0,0,0,1,0,0,3,0.333
Alessandro Bozzon,0,0,0,0,0,0,0,0,0,0,1,1,1.000
Alessandro Cimatti,0,0,0,0,0,3,2,1,2,2,1,11,0.455
Alessandro Epasto,0,0,0,0,0,0,0,0,0,1,0,1,1.000
Alessandro Farinelli,0,0,0,1,0,0,0,0,1,0,0,2,0.500
Alessandro Lazaric,0,0,0,0,0,1,0,0,0,0,0,1,0.000
Alessandro Lenci,0,0,0,0,0,0,0,0,0,2,0,2,1.000
Alessandro Nuara,0,0,0,0,0,0,0,0,0,0,1,1,1.000
Alessandro Panella,0,0,0,0,0,0,1,0,0,1,0,2,0.500
Alessandro Pinto,0,0,0,0,0,0,0,0,0,1,0,1,1.000
Alessandro Previti,0,0,0,0,0,0,1,0,0,0,0,1,0.000
Alessandro Solimando,0,0,0,0,0,0,0,0,0,1,0,1,1.000
Alessandro Sordoni,0,0,0,0,0,0,0,2,0,1,1,4,0.500
Alessio Lomuscio,0,0,0,0,0,0,0,0,2,0,1,3,1.000
Alex Chohlas-Wood,0,0,0,0,0,0,0,0,1,0,0,1,1.000
Alex Fukunaga,0,0,0,0,0,1,0,0,0,1,3,5,0.800
Alex Furger,0,0,0,0,1,0,0,0,0,0,0,1,0.000
Alex Gruver,0,0,0,0,0,0,0,0,1,0,0,1,1.000
Alex Killion,0,0,0,0,0,0,0,0,0,1,0,1,1.000
Alex Kulesza,0,0,0,0,0,0,0,0,1,1,0,2,1.000
Alex Lee,0,0,0,0,0,0,0,0,0,0,1,1,1.000
Alex Leighton,0,0,0,0,1,0,0,0,0,0,0,1,0.000
Alex Nash,1,0,0,1,0,0,0,0,0,0,0,2,0.000
Alex Pentland,0,0,0,0,1,0,0,0,0,1,0,2,0.500
Alex Rogers,1,0,0,3,1,4,1,1,1,0,0,12,0.083
Alex S. Fukunaga,0,0,0,0,0,0,0,0,0,1,1,2,1.000
Alexander A. Alemi,0,0,0,0,0,0,0,0,0,0,1,1,1.000
Alexander Bochman,0,0,0,0,0,0,0,0,1,0,0,1,1.000
Alexander Braylan,0,0,0,0,0,0,0,0,1,1,0,2,1.000
Alexander C. Berg,0,0,0,0,0,0,0,0,1,0,0,1,1.000
Alexander Chevelev,1,0,0,0,0,0,0,0,0,0,0,1,0.000
Alexander David Styler,0,0,0,0,0,0,1,0,1,0,0,2,0.500
Alexander Fay,0,0,0,0,0,0,0,0,1,0,0,1,1.000
Alexander Feldman,0,2,0,0,0,1,0,1,1,0,0,5,0.200
Alexander Felfernig,1,0,0,0,0,0,0,0,0,0,0,1,0.000
Alexander G. Hauptmann,0,0,0,0,0,0,0,0,4,2,4,10,1.000
Alexander Gruver,0,0,0,0,0,0,0,0,1,0,0,1,1.000
Alexander I. Rudnicky,1,0,0,0,0,0,0,0,0,0,0,1,0.000
Alexander Ivrii,0,0,0,0,0,0,0,1,0,1,0,2,0.500
Alexander J. Hartemink,0,0,0,0,0,0,0,0,0,1,0,1,1.000
Alexander J. Smola,1,0,0,0,0,0,0,0,1,0,0,2,0.500
Alexander Kovarsky,1,0,0,0,0,0,0,0,0,0,0,1,0.000
Alexander L. Strehl,1,0,0,0,0,0,0,0,0,0,0,1,0.000
Alexander Lazovik,0,0,0,0,1,0,0,0,0,0,0,1,0.000
Alexander Legg,0,0,0,0,0,0,0,0,1,0,0,1,1.000
Alexander M. Morison,0,0,0,0,0,0,0,0,0,1,0,1,1.000
Alexander M. Rush,0,0,0,0,0,0,0,0,0,1,0,1,1.000
Alexander Maier,0,0,0,0,0,1,0,0,0,0,0,1,0.000
Alexander Ororbia,0,0,0,0,0,0,0,1,0,0,0,1,0.000
Alexander Patrick Mathews,0,0,0,0,0,0,0,0,0,1,0,1,1.000
Alexander Russell,1,0,0,0,0,0,0,0,0,0,0,1,0.000
Alexander Shleyfman,0,0,0,0,0,0,0,0,3,0,0,3,1.000
Alexander Stoytchev,0,2,0,3,1,0,0,0,0,0,0,6,0.000
Alexander T. Ihler,0,0,0,0,1,1,0,0,0,1,2,5,0.600
Alexander Van Esbroeck,0,0,0,0,0,1,0,1,0,0,0,2,0.000
Alexander Wong,0,0,0,0,0,0,0,0,1,0,1,2,1.000
Alexander Zook,0,0,0,0,0,0,0,1,0,0,0,1,0.000
Alexandra Coman,0,0,0,0,1,1,0,0,0,0,1,3,0.333
Alexandra Goultiaeva,0,0,0,1,0,0,0,0,0,0,0,1,0.000
Alexandra Meliou,1,0,0,0,0,0,0,0,0,0,0,1,0.000
Alexandra Radu,0,0,0,0,0,0,0,0,0,1,0,1,1.000
Alexandra Swanson,0,0,0,0,0,0,0,0,1,0,0,1,1.000
Alexandre Delteil,1,0,0,0,0,0,0,0,0,0,0,1,0.000
Alexandre Fréchette,0,0,0,0,0,0,0,0,0,2,0,2,1.000
Alexandre K. W. Navarro,0,0,0,0,0,0,0,0,0,0,1,1,1.000
Alexandre Niveau,0,0,0,0,0,0,0,1,0,0,1,2,0.500
Alexandre Papadopoulos,1,0,0,0,0,0,0,1,0,0,0,2,0.000
