author,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,total,ratio
Abhijeet Sangwan,0,0,0,0,0,0,1,0,0,0,0,1,0.000
Abhijin Adiga,0,0,0,0,0,0,1,1,0,1,0,3,0.333
Abhijit Bhole,0,0,0,1,0,0,0,0,1,0,0,2,0.500
Abhijit Mishra,0,0,0,0,0,0,0,0,0,1,1,2,1.000
Abhijith Kashyap,0,0,0,0,0,0,0,1,0,0,0,1,0.000
Abhilash Dighe,0,0,0,0,0,0,0,0,0,0,1,1,1.000
Abhimanu Kumar,0,0,0,0,1,0,0,0,2,0,0,3,0.667
Abhimanyu Das,0,0,0,0,0,2,1,0,0,0,0,3,0.000
Abhimanyu Lad,1,0,0,0,0,0,0,0,0,1,0,2,0.500
Abhinav Gupta,0,1,0,1,0,0,1,0,1,0,0,4,0.250
Abhinav Kumar,0,0,0,0,0,0,1,0,0,0,0,1,0.000
Abhinav Sethy,0,0,1,0,0,0,0,0,0,0,0,1,0.000
Abhinav Sinha,0,0,0,0,0,0,0,1,0,0,0,1,0.000
Abhiram Natarajan,0,0,0,0,0,0,0,0,0,0,1,1,1.000
Abhisek Kundu,0,0,0,0,0,0,0,0,1,0,0,1,1.000
Abhishek Anand,0,0,0,0,1,0,0,0,0,0,0,1,0.000
Abhishek B. Sharma,1,0,0,0,0,1,2,0,0,0,0,4,0.000
Abhishek Gupta,0,0,2,0,0,0,0,1,1,1,0,5,0.400
Abhishek Kar,0,0,0,0,0,0,0,0,0,0,1,1,1.000
Abhishek Kumar,0,0,0,0,0,0,0,0,0,0,1,1,1.000
Abhishek Kumar 0001,0,0,0,1,1,1,0,0,0,0,0,3,0.000
Abhishek Narwekar,0,0,0,0,0,0,0,0,0,1,0,1,1.000
Abhishek Sharma,0,0,0,0,0,0,0,1,0,0,1,2,0.500
Abhradeep Guha Thakurta,0,0,0,0,0,0,1,0,0,0,1,2,0.500
Abhradeep Thakurta,0,0,0,1,0,0,1,0,1,0,0,3,0.333
Abhratanu Dutta,0,0,0,0,0,0,0,0,0,0,1,1,1.000
Abinaya Manimaran,0,0,0,0,0,0,0,0,0,0,1,1,1.000
Abir De,0,0,0,0,0,0,0,0,0,1,0,1,1.000
Abner Guzmán-Rivera,0,0,0,0,0,1,0,0,0,0,0,1,0.000
Abraham Bagherjeiran,0,0,0,1,0,0,0,0,0,0,0,1,0.000
Abraham Bernstein,0,0,1,0,0,0,0,1,0,0,0,2,0.000
Abraham Heifets,0,0,0,0,0,1,0,0,0,0,0,1,0.000
Abraham Othman,0,0,0,1,0,0,0,1,0,0,0,2,0.000
Abram L. Friesen,0,0,0,0,1,1,0,0,0,0,0,2,0.000
Abu Shamim Mohammad Arif,0,0,0,0,0,0,0,1,0,0,0,1,0.000
Abulhair Saparov,0,0,0,0,0,0,0,0,1,0,0,1,1.000
Acar Tamersoy,0,0,0,0,0,0,0,1,0,0,0,1,0.000
Achille Fokoue,1,0,0,0,0,1,0,0,0,0,0,2,0.000
Achint Thomas,0,0,0,0,1,0,0,0,0,0,0,1,0.000
Achintya Kundu,0,0,0,1,0,0,0,0,0,0,0,1,0.000
Achla Marathe,0,0,0,0,0,0,0,1,0,1,0,2,0.500
Achref El Mouelhi,0,0,0,0,0,0,0,0,0,0,1,1,1.000
Ad Feelders,0,0,0,0,0,1,0,0,0,0,0,1,0.000
Ada Wai-Chee Fu,1,1,1,0,0,0,1,0,0,0,0,4,0.000
Adam A. Margolin,0,0,0,0,0,0,0,2,0,0,0,2,0.000
Adam Amos-Binks,0,0,0,0,0,0,0,0,0,0,1,1,1.000
Adam Anthony,1,1,0,0,0,0,0,0,0,0,0,2,0.000
Adam Arvay,0,0,0,0,0,0,0,0,1,0,1,2,1.000
Adam Bermingham,0,0,1,0,0,0,0,0,0,0,0,1,0.000
Adam Bjorndahl,0,0,0,0,0,0,0,1,0,0,0,1,0.000
