author,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,total,ratio
Aayush Sharma,0,1,0,0,0,0,0,0,0,0,0,1,0.000
Abbas Abdolmaleki,0,0,0,0,0,0,0,0,1,0,0,1,1.000
Abbas Bazzi,0,0,0,0,0,0,0,0,0,1,0,1,1.000
Abbas Bigdeli,0,0,0,0,1,0,0,0,0,0,0,1,0.000
Abbas Edalat,0,0,0,0,0,0,1,0,0,0,0,1,0.000
Abbas Ehsanfar,0,0,0,0,0,0,0,0,1,0,0,1,1.000
Abbas Kazerouni,0,0,0,0,0,0,0,0,0,0,1,1,1.000
Abbas Mehrabian,0,0,0,0,0,0,0,0,0,0,1,1,1.000
Abbas Rafii,0,2,0,0,0,0,0,0,0,0,0,2,0.000
Abbas Zaidi,0,0,0,0,0,0,0,0,0,1,0,1,1.000
Abbes Amira,0,0,0,1,0,0,0,0,0,0,0,1,0.000
Abby Miller,0,0,0,0,0,0,0,0,1,0,0,1,1.000
Abby Stylianou,0,0,0,0,0,0,0,0,0,1,0,1,1.000
Abdallah Saffidine,0,0,0,0,0,1,0,1,0,1,0,3,0.333
Abdel-Illah Mouaddib,0,0,0,0,0,1,0,0,1,0,0,2,0.500
Abdel-rahman Mohamed,0,0,0,1,0,0,0,0,0,0,0,1,0.000
Abdelkrim Ouafi,0,0,0,0,0,0,0,0,0,0,1,1,1.000
Abdelmalik Taleb-Ahmed,0,0,0,0,0,0,0,0,0,0,1,1,1.000
Abdelrahman Kamel,0,0,0,0,0,0,0,0,0,1,0,1,1.000
Abdelrehim H. Ahmed,1,0,0,0,0,0,0,0,0,0,0,1,0.000
Abdenour Bouzouane,0,0,0,0,0,0,1,1,3,0,0,5,0.600
Abdenour Hadid,0,0,0,0,0,0,0,1,1,0,0,2,0.500
Abder Rezak Benaskeur,0,0,0,0,1,0,0,0,0,0,0,1,0.000
Abderrahim Labbi,0,0,0,0,0,1,0,0,0,0,0,1,0.000
Abderrahmane Kheddar,0,0,0,0,0,0,0,0,1,0,0,1,1.000
Abdeslam Boularias,0,0,0,1,2,2,0,1,2,0,0,8,0.250
Abdesselam Bouzerdoum,0,0,0,0,1,0,0,0,0,0,0,1,0.000
Abdol-Hossein Esfahanian,0,0,1,0,0,0,0,0,0,0,0,1,0.000
Abdou S. Youssef,0,0,0,0,0,0,0,0,0,1,0,1,1.000
Abdou Youssef,0,0,0,0,0,0,0,0,1,0,0,1,1.000
Abdul Majid,0,0,0,0,0,1,0,0,0,0,0,1,0.000
Abdul Razak,0,0,0,0,0,0,0,0,0,0,1,1,1.000
Abdul Sattar 0001,2,2,0,0,0,2,2,0,1,0,0,9,0.111
Abdul Serwadda,0,0,0,0,0,0,0,1,0,0,0,1,0.000
Abdul-Saboor Sheikh,0,0,0,0,1,1,0,0,0,1,0,3,0.333
Abdulhakim Ali Qahtan,0,0,0,0,0,0,0,0,1,1,0,2,1.000
Abdullah Akay,0,0,0,0,1,0,0,0,0,0,0,1,0.000
Abdullah Al-Dujaili,0,0,0,0,0,0,0,0,0,0,1,1,1.000
Abdullah Aref,0,0,0,0,0,0,0,0,1,1,0,2,1.000
Abdullah Mueen,0,0,0,1,1,1,0,0,0,1,0,4,0.250
Abdullah Rahman,0,0,0,0,0,0,0,0,0,0,1,1,1.000
Abdulmohsen Algarni,0,0,0,1,0,0,0,0,0,0,0,1,0.000
Abdur Chowdhury,1,0,0,0,0,0,0,0,0,0,0,1,0.000
