author,title,year,conference
Benjamin Burchfiel_Carlo Tomasi_Ronald Parr,Distance Minimization for Reward Learning from Scored Trajectories.,2016,AAAI
Jun Guo_Hongyang Chao,Building an End-to-End Spatial-Temporal Convolutional Network for Video Super-Resolution.,2017,AAAI
NhatHai Phan_Yue Wang 0009_Xintao Wu_Dejing Dou,Differential Privacy Preservation for Deep Auto-Encoders: an Application of Human Behavior Prediction.,2016,AAAI
Zhangyang Wang_Qing Ling_Thomas S. Huang,Learning Deep ℓ0 Encoders.,2016,AAAI
Shanshan Huang_Xiaojun Wan 0001_Xuewei Tang,AMRec: An Intelligent System for Academic Method Recommendation.,2013,AAAI
Anara Sandygulova_Yerdaulet Absattar_Damir Doszhan_German Ignacio Parisi,Child-Centred Motion-Based Age and Gender Estimation with Neural Network Learning.,2016,AAAI
Joel Oren_Brendan Lucier,Online (Budgeted) Social Choice.,2014,AAAI
Robert J. Woodward_Shant Karakashian_Berthe Y. Choueiry_Christian Bessiere,Adaptive Neighborhood Inverse Consistency as Lookahead for Non-Binary CSPs.,2011,AAAI
Minnan Luo_Feiping Nie_Xiaojun Chang_Yi Yang_Alexander G. Hauptmann_Qinghua Zheng,Probabilistic Non-Negative Matrix Factorization and Its Robust Extensions for Topic Modeling.,2017,AAAI
Alakananda Vempala_Eduardo Blanco 0002,Complementing Semantic Roles with Temporally Anchored Spatial Knowledge: Crowdsourced Annotations and Experiments.,2016,AAAI
Sinno Jialin Pan_James T. Kwok_Qiang Yang 0001_Jeffrey Junfeng Pan,Adaptive Localization in a Dynamic WiFi Environment through Multi-view Learning.,2007,AAAI
Piotr Lech Szczepanski_Mateusz Krzysztof Tarkowski_Tomasz Pawel Michalak_Paul Harrenstein_Michael Wooldridge,Efficient Computation of Semivalues for Game-Theoretic Network Centrality.,2015,AAAI
Nick Hawes_Aaron Sloman_Jeremy L. Wyatt_Michael Zillich_Henrik Jacobsson_Geert-Jan M. Kruijff_Michael Brenner_Gregor Berginc_Danijel Skocaj,Towards an Integrated Robot with Multiple Cognitive Functions.,2007,AAAI
Sarah M. Erfani_Mahsa Baktashmotlagh_Masud Moshtaghi_Vinh Nguyen_Christopher Leckie_James Bailey_Kotagiri Ramamohanarao,From Shared Subspaces to Shared Landmarks: A Robust Multi-Source Classification Approach.,2017,AAAI
Canasai Kruengkrai_Kentaro Torisawa_Chikara Hashimoto_Julien Kloetzer_Jong-Hoon Oh_Masahiro Tanaka,Improving Event Causality Recognition with Multiple Background Knowledge Sources Using Multi-Column Convolutional Neural Networks.,2017,AAAI
Jonas Vlasselaer_Angelika Kimmig_Anton Dries_Wannes Meert_Luc De Raedt,Knowledge Compilation and Weighted Model Counting for Inference in Probabilistic Logic Programs.,2016,AAAI
Chung Hyuk Park_Neetha Pai_Jayahasan Bakthachalam_Yaojie Li_Myounghoon Jeon_Ayanna M. Howard,Robotic Framework for Music-Based Emotional and Social Engagement with Children with Autism.,2015,AAAI
John K. Williams_Peter P. Neilley_Joseph P. Koval_Jeff McDonald,Adaptable Regression Method for Ensemble Consensus Forecasting.,2016,AAAI
Denys Katerenchuk_Andrew Rosenberg,Hierarchy Prediction in Online Communities.,2016,AAAI
Thomas Lukasiewicz_Maria Vanina Martinez_Livia Predoiu_Gerardo I. Simari,Basic Probabilistic Ontological Data Exchange with Existential Rules.,2016,AAAI
Anshul Gupta_Ricardo Gutierrez-Osuna_Matthew Christy_Boris Capitanu_Loretta Auvil_Liz Grumbach_Richard Furuta_Laura Mandell,Automatic Assessment of OCR Quality in Historical Documents.,2015,AAAI
William E. Walsh_David C. Parkes_Tuomas Sandholm_Craig Boutilier,Computing Reserve Prices and Identifying the Value Distribution in Real-world Auctions with Market Disruptions.,2008,AAAI
Donghun Yeo_Bohyung Han_Joon Hee Han,Unsupervised Co-Activity Detection from Multiple Videos Using Absorbing Markov Chain.,2016,AAAI
Martin Kronegger_Sebastian Ordyniak_Andreas Pfandler,Backdoors to Planning.,2014,AAAI
Feng Wu_Nicholas R. Jennings,Regret-Based Multi-Agent Coordination with Uncertain Task Rewards.,2014,AAAI
Johan Wittocx_Maarten Mariën_Marc Denecker,Grounding with Bounds.,2008,AAAI
Yexiang Xue_Junwen Bai_Ronan Le Bras_Brendan Rappazzo_Richard Bernstein_Johan Bjorck_Liane Longpre_Santosh K. Suram_Robert Bruce van Dover_John M. Gregoire_Carla P. Gomes,Phase-Mapper: An AI Platform to Accelerate High Throughput Materials Discovery.,2017,AAAI
Andrea Bartolini_Michele Lombardi 0001_Michela Milano_Luca Benini,Optimization and Controlled Systems: A Case Study on Thermal Aware Workload Dispatching.,2012,AAAI
Jason M. O'Kane_Steven M. LaValle,Dominance and Equivalence for Sensor-Based Agents.,2007,AAAI
Nate Derbinsky,Long-Term Declarative Memory for Generally Intelligent Agents.,2011,AAAI
Hao Xiong_Tongliang Liu_Dacheng Tao,Diversified Dynamical Gaussian Process Latent Variable Model for Video Repair.,2016,AAAI
Vahed Qazvinian_Dragomir R. Radev,Exploiting Phase Transition in Latent Networks for Clustering.,2011,AAAI
Arnaud Gotlieb_Mats Carlsson_Marius Liaaen_Dusica Marijan_Alexandre Petillon,Automated Regression Testing Using Constraint Programming.,2016,AAAI
Yuanlu Xu_Xiaobai Liu_Lei Qin_Song-Chun Zhu,Cross-View People Tracking by Scene-Centered Spatio-Temporal Parsing.,2017,AAAI
Yash Satsangi_Shimon Whiteson_Frans A. Oliehoek,Exploiting Submodular Value Functions for Faster Dynamic Sensor Selection.,2015,AAAI
Aron Laszka_Jian Lou_Yevgeniy Vorobeychik,Multi-Defender Strategic Filtering Against Spear-Phishing Attacks.,2016,AAAI
Feiping Nie_Guohao Cai_Xuelong Li,Multi-View Clustering and Semi-Supervised Classification with Adaptive Neighbours.,2017,AAAI
Dmitry Shaparau_Marco Pistore_Paolo Traverso,Fusing Procedural and Declarative Planning Goals for Nondeterministic Domains.,2008,AAAI
Martin Schmid_Matej Moravcik_Milan Hladík_Stephen J. Gaukrodger,Automatic Public State Space Abstraction in Imperfect Information Games.,2015,AAAI
Chun Chen_Zhengguang Chen_Jiajun Bu_Can Wang_Lijun Zhang 0005_Cheng Zhang,G-Optimal Design with Laplacian Regularization.,2010,AAAI
Matthew Hatem_Wheeler Ruml,Simpler Bounded Suboptimal Search.,2014,AAAI
Éric Grégoire_Yacine Izza_Jean-Marie Lagniez,On the Extraction of One Maximal Information Subset That Does Not Conflict with Multiple Contexts.,2016,AAAI
Kuldeep S. Meel_Moshe Y. Vardi_Supratik Chakraborty_Daniel J. Fremont_Sanjit A. Seshia_Dror Fried_Alexander Ivrii_Sharad Malik,Constrained Sampling and Counting: Universal Hashing Meets SAT Solving.,2016,AAAI
Elias Marcopoulos_Maede Rayatidamavandi_Crisel Suarez_Yuanlin Zhang,Online SPARC for Drawing and Animation.,2017,AAAI
Kaj Sotala,Concept Learning for Safe Autonomous AI.,2015,AAAI
Elias Bareinboim_Judea Pearl,Controlling Selection Bias in Causal Inference.,2011,AAAI
Alina Deshpande_Esteban Abeyta_Lauren Castro_Ashlynn R. Daughton_Geoffrey Fairchild_Nicholas Generous_Reid Priedhorsky_Kirsten Taylor-McCabe_Nileena Velappan,The Surveillance Window Application (SWAP): A Web-Hosted Tool to Facilitate Situational Awareness during Outbreaks.,2015,AAAI
Ben Horsburgh_Susan Craw_Stewart Massie,Music-Inspired Texture Representation.,2012,AAAI
Natasha Alechina_Mehdi Dastani_Brian Logan_John-Jules Ch. Meyer,A Logic of Agent Programs.,2007,AAAI
Alexandros Zenonos_Sebastian Stein 0001_Nicholas R. Jennings,An Algorithm to Coordinate Measurements Using Stochastic Human Mobility Patterns in Large-Scale Participatory Sensing Settings.,2016,AAAI
Christian Szegedy_Sergey Ioffe_Vincent Vanhoucke_Alexander A. Alemi,Inception-v4 Inception-ResNet and the Impact of Residual Connections on Learning.,2017,AAAI
Nathaniel Gemelli_Jeffrey Hudack_Jae C. Oh,Virtual Structure Reduction for Distributed Constraint Problem Solving.,2013,AAAI
Amit Goyal_Hal Daumé III,Lossy Conservative Update (LCU) Sketch: Succinct Approximate Count Storage.,2011,AAAI
Abhishek B. Sharma_Kenneth D. Forbus,Graph Traversal Methods for Reasoning in Large Knowledge-Based Systems.,2013,AAAI
Michael Joya,An Event-Based Framework for Process Inference.,2011,AAAI
Rebecca Mason_Benjamin Gaska_Benjamin Van Durme_Pallavi Choudhury_Ted Hart_Bill Dolan_Kristina Toutanova_Margaret Mitchell,Microsummarization of Online Reviews: An Experimental Study.,2016,AAAI
Shuai Xiao_Junchi Yan_Xiaokang Yang_Hongyuan Zha_Stephen M. Chu,Modeling the Intensity Function of Point Process Via Recurrent Neural Networks.,2017,AAAI
Jincheng Mei_Kang Zhao_Bao-Liang Lu,On Unconstrained Quasi-Submodular Function Optimization.,2015,AAAI
George D. Montanez_Saeed Amizadeh_Nikolay Laptev,Inertial Hidden Markov Models: Modeling Change in Multivariate Time Series.,2015,AAAI
Joseph Zhen Ying Xu_John E. Laird,Learning Integrated Symbolic and Continuous Action Models for Continuous Domains.,2013,AAAI
Matej Moravcik_Martin Schmid_Karel Ha_Milan Hladík_Stephen J. Gaukrodger,Refining Subgames in Large Imperfect Information Games.,2016,AAAI
Ashish Kapoor_Bongshin Lee_Desney S. Tan_Eric Horvitz,Learning to Learn: Algorithmic Inspirations from Human Problem Solving.,2012,AAAI
Levi Lelis_Sandra Zilles_Robert C. Holte,Fast and Accurate Predictions of IDA*'s Performance.,2012,AAAI
Patrick R. Jordan_Michael P. Wellman,Algorithms for Finding Approximate Formations in Games.,2010,AAAI
Andy Hon Wai Chun,Using AI for e-Government Automatic Assessment of Immigration Application Forms.,2007,AAAI
Jur van den Berg_Sachin Patil_Ron Alterovitz,Efficient Approximate Value Iteration for Continuous Gaussian POMDPs.,2012,AAAI
Vincent Wenchen Zheng_Bin Cao 0001_Yu Zheng 0004_Xing Xie 0001_Qiang Yang 0001,Collaborative Filtering Meets Mobile Recommendation: A User-Centered Approach.,2010,AAAI
Ngo Anh Vien_Marc Toussaint,Hierarchical Monte-Carlo Planning.,2015,AAAI
Andy Hon Wai Chun,Using AI for Olympic Equestrian Event Preparation.,2008,AAAI
Igor Kiselev_Andrey Glaschenko_Alexander Chevelev_Petr Skobelev,Towards an Adaptive Approach for Distributed Resource Allocation in a Multi-agent System for Solving Dynamic Vehicle Routing Problems.,2007,AAAI
Jason Gauci_Kenneth O. Stanley,A Case Study on the Critical Role of Geometric Regularity in Machine Learning.,2008,AAAI
Heng Zhang_Mingsheng Ying,Decidable Fragments of First-Order Language Under Stable Model Semantics and Circumscription.,2010,AAAI
Yolanda E.-Martín_María Dolores Rodríguez-Moreno_David E. Smith,Probabilistic Plan Graph Heuristic for Probabilistic Planning.,2011,AAAI
Luciano Spinello_Kai Oliver Arras_Rudolph Triebel_Roland Siegwart,A Layered Approach to People Detection in 3D Range Data.,2010,AAAI
Ya'akov Gal_Avi Pfeffer,Modeling Reciprocal Behavior in Human Bilateral Negotiation.,2007,AAAI
Marina Langlois_Robert H. Sloan_Balázs Szörényi_György Turán,Horn Complements: Towards Horn-to-Horn Belief Revision.,2008,AAAI
Guni Sharon_Ariel Felner_Roni Stern_Nathan R. Sturtevant,Partial Domain Search Tree For Constraint-Satisfaction Problems.,2013,AAAI
David H. Ackley,Indefinite Scalability for Living Computation.,2016,AAAI
Christopher J. Carpenter_Christopher Dugan_Joseph Kopena_Robert N. Lass_Gaurav Naik_Duc N. Nguyen_Evan Sultanik_Pragnesh Jay Modi_William C. Regli,Disaster Evacuation Support.,2007,AAAI
Marc G. Bellemare_Georg Ostrovski_Arthur Guez_Philip S. Thomas_Rémi Munos,Increasing the Action Gap: New Operators for Reinforcement Learning.,2016,AAAI
Lydia Manikonda_Tathagata Chakraborti_Sushovan De_Kartik Talamadupula_Subbarao Kambhampati,AI-MIX: Using Automated Planning to Steer Human Workers Towards Better Crowdsourced Plans.,2014,AAAI
Xianpei Han_Le Sun,Distant Supervision via Prototype-Based Global Representation Learning.,2017,AAAI
Christoph Redl,On Equivalence and Inconsistency of Answer Set Programs with External Sources.,2017,AAAI
Michael Johanson_Nolan Bard_Neil Burch_Michael Bowling,Finding Optimal Abstract Strategies in Extensive-Form Games.,2012,AAAI
Fábio Gagliardi Cozman_Denis Deratani Mauá,Bayesian Networks Specified Using Propositional and Relational Constructs: Combined Data and Domain Complexity.,2015,AAAI
Nitesh V. Chawla_Kevin W. Bowyer,Actively Exploring Creation of Face Space(s) for Improved Face Recognition.,2007,AAAI
Michael S. Ryoo_Brandon Rothrock_Charles Fleming_Hyun Jong Yang,Privacy-Preserving Human Activity Recognition from Extreme Low Resolution.,2017,AAAI
Karo Castro-Wunsch_William Maga_Calin Anton,BeeMo a Monte Carlo Simulation Agent for Playing Parameterized Poker Squares.,2016,AAAI
Diego Noble_Marcelo O. R. Prates_Daniel Bossle_Luís C. Lamb,Collaboration in Social Problem-Solving: When Diversity Trumps Network Efficiency.,2015,AAAI
Meng Zhao_Faizan Javed_Ferosh Jacob_Matt McNair,SKILL: A System for Skill Identification and Normalization.,2015,AAAI
Tobias Linnenberg_Alexander Fay_Michael Kaisers,Bottom-Up Demand Response by Following Local Energy Generation Voluntarily.,2015,AAAI
Steven Phillips_Jane Elith,Logistic Methods for Resource Selection Functions and Presence-Only Species Distribution Models.,2011,AAAI
Lushan Han_Tim Finin,Predicting Appropriate Semantic Web Terms from Words.,2008,AAAI
Sicheng Zhao_Hongxun Yao_Wenlong Xie_Xiaolei Jiang,User-Centric Affective Computing of Image Emotion Perceptions.,2016,AAAI
Atena M. Tabakhi,Pseudo-Tree Construction Heuristics for DCOPs with Variable Communication Times.,2016,AAAI
Chen Chen 0004_Vincent Ng,Chinese Zero Pronoun Resolution: An Unsupervised Approach Combining Ranking and Integer Linear Programming.,2014,AAAI
Yan Virin_Guy Shani_Solomon Eyal Shimony_Ronen I. Brafman,Scaling Up: Solving POMDPs through Value Based Clustering.,2007,AAAI
Xiaohua Liu_Arbi Bouchoucha_Alessandro Sordoni_Jian-Yun Nie,Compact Aspect Embedding for Diversified Query Expansions.,2014,AAAI
Nathan R. Sturtevant_Brian Magerko,The State of the AIIDE Conference in 2017.,2017,AAAI
Jaimie Murdock_Colin Allen,Visualization Techniques for Topic Model Checking.,2015,AAAI
Eric A. Hansen_Ibrahim Abdoulahi,General Error Bounds in Heuristic Search Algorithms for Stochastic Shortest Path Problems.,2016,AAAI
Hankz Hankui Zhuo_Tuan Anh Nguyen 0001_Subbarao Kambhampati,Model-Lite Case-Based Planning.,2013,AAAI
Songjian Chen_Yabo Xu_Huiyou Chang,A Simple and Effective Unsupervised Word Segmentation Approach.,2011,AAAI
Reshef Meir,Plurality Voting Under Uncertainty.,2015,AAAI
Ghasem Heyrani-Nobari_Tat-Seng Chua,User Intent Identification from Online Discussions Using a Joint Aspect-Action Topic Model.,2014,AAAI
Lisa Torrey_Karen Johnson_Sid Sondergard_Pedro Ponce_Laura Desmond,The Turing Test in the Classroom.,2016,AAAI
Zhiguang Cao_Hongliang Guo_Jie Zhang_Ulrich Fastenrath,Multiagent-Based Route Guidance for Increasing the Chance of Arrival on Time.,2016,AAAI
Hang T. Dinh_Alexander Russell_Yuan Su,On the Value of Good Advice: The Complexity of A* Search with Accurate Heuristics.,2007,AAAI
Hengjie Song_Ruoxue Liao_Xiangliang Zhang_Chunyan Miao_Qiang Yang 0001,A Mouse-Trajectory Based Model for Predicting Query-URL Relevance.,2012,AAAI
Azzurra Ragone_Tommaso Di Noia_Eugenio Di Sciascio_Francesco M. Donini,Description Logics for Multi-Issue Bilateral Negotiation with Incomplete Information.,2007,AAAI
Jens Witkowski_Pavel Atanasov_Lyle H. Ungar_Andreas Krause 0001,Proper Proxy Scoring Rules.,2017,AAAI
Somak Aditya,Explainable Image Understanding Using Vision and Reasoning.,2017,AAAI
Benedikt Bünz_Sven Seuken_Benjamin Lubin,A Faster Core Constraint Generation Algorithm for Combinatorial Auctions.,2015,AAAI
Gary Doran,Distribution Kernel Methods for Multiple-Instance Learning.,2013,AAAI
Miaolong Yuan_Bo Tian_Vui Ann Shim_Huajin Tang_Haizhou Li,An Entorhinal-Hippocampal Model for Simultaneous Cognitive Map Building.,2015,AAAI
Toby Walsh,Symmetry Breaking Constraints: Recent Results.,2012,AAAI
Young Chol Song_Henry A. Kautz,A Testbed for Learning by Demonstration from Natural Language and RGB-Depth Video.,2012,AAAI
Dougal J. Sutherland_Junier B. Oliva_Barnabás Póczos_Jeff G. Schneider,Linear-Time Learning on Distributions with Approximate Kernel Embeddings.,2016,AAAI
Andreas Krause 0001_Carlos Guestrin,Near-optimal Observation Selection using Submodular Functions.,2007,AAAI
Min Yang_Ziyu Lu_Xiaojun Chen 0004_Fei Xu,Detecting Review Spammer Groups.,2017,AAAI
Tomás Balyo_Marijn J. H. Heule_Matti Järvisalo,SAT Competition 2016: Recent Developments.,2017,AAAI
Xuefeng Chen_Yifeng Zeng_Gao Cong_Shengchao Qin_Yanping Xiang_Yuanshun Dai,On Information Coverage for Location Category Based Point-of-Interest Recommendation.,2015,AAAI
Gilles Audemard_George Katsirelos_Laurent Simon,A Restriction of Extended Resolution for Clause Learning SAT Solvers.,2010,AAAI
Thanapon Noraset_Chen Liang_Larry Birnbaum_Doug Downey,Definition Modeling: Learning to Define Word Embeddings in Natural Language.,2017,AAAI
Itai Ashlagi_Dov Monderer_Moshe Tennenholtz,Learning Equilibrium in Resource Selection Games.,2007,AAAI
Landon Kraemer_Bikramjit Banerjee,Informed Initial Policies for Learning in Dec-POMDPs.,2012,AAAI
Pierre-Luc Bacon_Jean Harb_Doina Precup,The Option-Critic Architecture.,2017,AAAI
Ravi Ganti_Nikhil S. Rao_Laura Balzano_Rebecca Willett_Robert D. Nowak,On Learning High Dimensional Structured Single Index Models.,2017,AAAI
Wei Kuang_Laura E. Brown_Zhenlin Wang,Transfer Learning-Based Co-Run Scheduling for Heterogeneous Datacenters.,2015,AAAI
Maxim Grechkin_Maryam Fazel_Daniela M. Witten_Su-In Lee,Pathway Graphical Lasso.,2015,AAAI
Jilian Zhang_Shichao Zhang_Xiaofeng Zhu_Xindong Wu_Chengqi Zhang,Measuring the Uncertainty of Differences for Contrasting Groups.,2007,AAAI
Sertac Karapinar_Sanem Sariel Talay,Failure Handling In a Planning Framework.,2012,AAAI
Farzad Amirjavid_Abdenour Bouzouane_Bruno Bouchard 0001,Modeling of Activities as Fuzzy Temporal Multivariable Problems.,2013,AAAI
Miquel Ramírez_Hector Geffner,Probabilistic Plan Recognition Using Off-the-Shelf Classical Planners.,2010,AAAI
Danuta Sorina Chisca_Mohamed Siala 0002_Gilles Simonin_Barry O'Sullivan,A CP-Based Approach for Popular Matching.,2016,AAAI
Yu Zhang,Multi-Task Learning and Algorithmic Stability.,2015,AAAI
Hadi Amiri_Hal Daumé III,Target-Dependent Churn Classification in Microblogs.,2015,AAAI
David Ray Thompson_David Wettergreen_Greydon T. Foil_P. Michael Furlong_Anatha Ravi Kiran,Spatio-Spectral Exploration Combining In Situ and Remote Measurements.,2015,AAAI
Vukosi Ntsakisi Marivate_Michael L. Littman,An Ensemble of Linearly Combined Reinforcement-Learning Agents.,2013,AAAI
Sylvain Labranche_Eric Beaudry,Partial Satisfaction Planning under Time Uncertainty with Control on When Objectives Can Be Aborted.,2014,AAAI
Wei Bi_James T. Kwok,Multilabel Classification with Label Correlations and Missing Labels.,2014,AAAI
Noam Brown_Tuomas Sandholm,Regret Transfer and Parameter Optimization.,2014,AAAI
Yuan Liu_Xue Li_Zhongchao Shi,Video Captioning with Listwise Supervision.,2017,AAAI
Ryan Luna_Morteza Lahijanian_Mark Moll_Lydia E. Kavraki,Optimal and Efficient Stochastic Motion Planning in Partially-Known Environments.,2014,AAAI
Arindam Mitra_Chitta Baral,Addressing a Question Answering Challenge by Combining Statistical Methods with Inductive Rule Learning and Reasoning.,2016,AAAI
Yaohua Bu_Taoran Tang_Jia Jia_Zhiyuan Ma_Songyao Wu_Yuming You,AniDraw: When Music and Dance Meet Harmoniously.,2017,AAAI
Wen Pu_Jaesik Choi_Eyal Amir,Lifted Inference on Transitive Relations.,2013,AAAI
Yale Chang_Jennifer G. Dy,Informative Subspace Learning for Counterfactual Inference.,2017,AAAI
Ashutosh Saxena_Min Sun_Andrew Y. Ng,Make3D: Depth Perception from a Single Still Image.,2008,AAAI
Pablo Hernandez-Leal_Matthew E. Taylor_Benjamin Rosman_Luis Enrique Sucar_Enrique Munoz de Cote,Identifying and Tracking Switching Non-Stationary Opponents: A Bayesian Approach.,2016,AAAI
Lin Li 0001_Zhenglu Yang_Ling Liu_Masaru Kitsuregawa,Query-URL Bipartite Based Approach to Personalized Query Recommendation.,2008,AAAI
Srijith Ravikumar_Kartik Talamadupula_Raju Balakrishnan_Subbarao Kambhampati,RAProp: Ranking Tweets by Exploiting the Tweet/User/Web Ecosystem and Inter-Tweet Agreement.,2013,AAAI
Liwei Wang_Xiong Li_Zhuowen Tu_Jiaya Jia,Discriminative Clustering via Generative Feature Mapping.,2012,AAAI
Kriste Krstovski_David A. Smith_Michael J. Kurtz,Automatic Construction of Evaluation Sets and Evaluation of Document Similarity Models in Large Scholarly Retrieval Systems.,2016,AAAI
Benjamin Bittner_Marco Bozzano_Alessandro Cimatti_Xavier Olive,Symbolic Synthesis of Observability Requirements for Diagnosability.,2012,AAAI
Elias Fernández Domingos_Juan-Carlos Burguillo_Ann Nowé_Tom Lenaerts,Coordinating Human and Agent Behavior in Collective-Risk Scenarios.,2017,AAAI
Zuhe Zhang_Benjamin I. P. Rubinstein_Christos Dimitrakakis,On the Differential Privacy of Bayesian Inference.,2016,AAAI
Yang Liu 0005_Zhiyuan Liu_Tat-Seng Chua_Maosong Sun,Topical Word Embeddings.,2015,AAAI
Xiaojin Zhu 0001,Machine Teaching: An Inverse Problem to Machine Learning and an Approach Toward Optimal Education.,2015,AAAI
Mark J. Nelson_Michael Mateas,Another Look at Search-Based Drama Management.,2008,AAAI
Shangpu Jiang_Daniel Lowd_Dejing Dou,A Probabilistic Approach to Knowledge Translation.,2016,AAAI
Udi Apsel_Ronen I. Brafman,Lifted MEU by Weighted Model Counting.,2012,AAAI
David Lesaint_Deepak Mehta_Barry O'Sullivan_Luis Quesada 0001_Nic Wilson,Personalisation of Telecommunications Services as Combinatorial Optimisation.,2008,AAAI
Wenkui Ding_Tao Qin_Xu-Dong Zhang_Tie-Yan Liu,Multi-Armed Bandit with Budget Constraint and Variable Costs.,2013,AAAI
Sepehr Abbasi Zadeh_Mehrdad Ghadiri_Vahab S. Mirrokni_Morteza Zadimoghaddam,Scalable Feature Selection via Distributed Diversity Maximization.,2017,AAAI
Jochen Renz,AIBIRDS: The Angry Birds Artificial Intelligence Competition.,2015,AAAI
Wee-Chong Oon_Martin Henz,M2ICAL Analyses HC-Gammon.,2007,AAAI
Kyle Hollins Wray_Shlomo Zilberstein,A POMDP Formulation of Proactive Learning.,2016,AAAI
Li Dong_Furu Wei_Yajuan Duan_Xiaohua Liu_Ming Zhou 0001_Ke Xu 0001,The Automated Acquisition of Suggestions from Tweets.,2013,AAAI
Víctor Gutiérrez-Basulto_Yazmin Angélica Ibáñez-García_Jean Christoph Jung,Number Restrictions on Transitive Roles in Description Logics with Nominals.,2017,AAAI
Mark Kaminski_Yavor Nenov_Bernardo Cuenca Grau,Datalog Rewritability of Disjunctive Datalog Programs and its Applications to Ontology Reasoning.,2014,AAAI
Weiwei Shen_Jun Wang,Portfolio Selection via Subset Resampling.,2017,AAAI
Yu Wu_Wei Wu_Zhoujun Li_Ming Zhou,Improving Recommendation of Tail Tags for Questions in Community Question Answering.,2016,AAAI
Boyu Wang_Joelle Pineau_Borja Balle,Multitask Generalized Eigenvalue Program.,2016,AAAI
Tao Zhou_Jie Yu,Natural Language Person Retrieval.,2017,AAAI
Kevin Waugh_James Andrew Bagnell,A Unified View of Large-Scale Zero-Sum Equilibrium Computation.,2015,AAAI
Yun Xiong_Yangyong Zhu_Philip S. Yu_Jian Pei,Towards Cohesive Anomaly Mining.,2013,AAAI
Parag Singla_Aniruddh Nath_Pedro M. Domingos,Approximate Lifting Techniques for Belief Propagation.,2014,AAAI
Jie Zhang 0002_Robin Cohen,Design of a Mechanism for Promoting Honesty in E-Marketplaces.,2007,AAAI
Bruno Castro da Silva_Andrew G. Barto,TD-DeltaPi: A Model-Free Algorithm for Efficient Exploration.,2012,AAAI
Bradford Heap_Maurice Pagnucco,Minimising Undesired Task Costs in Multi-Robot Task Allocation Problems with In-Schedule Dependencies.,2014,AAAI
Robert Morris_Corina S. Pasareanu_Kasper Søe Luckow_Waqar Malik_Hang Ma 0001_T. K. Satish Kumar_Sven Koenig,Planning Scheduling and Monitoring for Airport Surface Operations.,2016,AAAI
Xiaoyuan Zhu_Changhe Yuan,An Exact Algorithm for Solving Most Relevant Explanation in Bayesian Networks.,2015,AAAI
Avi Pfeffer_Ya'akov Gal,On the Reasoning Patterns of Agents in Games.,2007,AAAI
Oliver Parson_Siddhartha Ghosh_Mark J. Weal_Alex Rogers,Non-Intrusive Load Monitoring Using Prior Models of General Appliance Types.,2012,AAAI
Thomas K. Harris_Alexander I. Rudnicky,TeamTalk: A Platform for Multi-Human-Robot Dialog Research in Coherent Real and Virtual Spaces.,2007,AAAI
Darrell Hoy_Evdokia Nikolova,Approximately Optimal Risk-Averse Routing Policies via Adaptive Discretization.,2015,AAAI
Shiqi Zhang_Forrest Sheng Bao_Mohan Sridharan,Combining Probabilistic Planning and Logic Programming on Mobile Robots.,2012,AAAI
Yujun Li_Kaichun Mo_Haishan Ye,Accelerating Random Kaczmarz Algorithm Based on Clustering Information.,2016,AAAI
Julien Laumonier,Reinforcement Using Supervised Learning for Policy Generalization.,2007,AAAI
Hua Wang_Chris H. Q. Ding_Heng Huang,Multi-Label Classification: Inconsistency and Class Balanced K-Nearest Neighbor.,2010,AAAI
Babak Alipanahi_Michael Biggs_Ali Ghodsi,Distance Metric Learning Versus Fisher Discriminant Analysis.,2008,AAAI
Ece Kamar_Barbara J. Grosz_David Sarne,Modeling User Perception of Interaction Opportunities in Collaborative Human-Computer Settings.,2007,AAAI
Muhannad Al-Omari_Paul Duckworth_David C. Hogg_Anthony G. Cohn,Natural Language Acquisition and Grounding for Embodied Robotic Systems.,2017,AAAI
Markus Sebastian Schwenk_Tiago Stegun Vaquero_Goldie Nejat_Kai Oliver Arras,Schedule-Based Robotic Search for Multiple Residents in a Retirement Home Environment.,2014,AAAI
Tran Cao Son_Enrico Pontelli_Chitta Baral_Gregory Gelfond,Exploring the KD45 Property of a Kripke Model After the Execution of an Action Sequence.,2015,AAAI
Mark Valovage_Maria L. Gini,Automatic Label Correction and Appliance Prioritization in Single Household Electricity Disaggregation.,2016,AAAI
Yeqing Li_Junzhou Huang_Wei Liu,Scalable Sequential Spectral Clustering.,2016,AAAI
David A. Cohen_Martin C. Cooper_Peter G. Jeavons_Stanislav Zivny,Binarisation via Dualisation for Valued Constraints.,2015,AAAI
Sriraam Natarajan,Organizers.,2014,AAAI
Danushka Bollegala_Mohammed Alsuhaibani_Takanori Maehara_Ken-ichi Kawarabayashi,Joint Word Representation Learning Using a Corpus and a Semantic Lexicon.,2016,AAAI
Chuang Gan_Chen Sun_Ram Nevatia,DECK: Discovering Event Composition Knowledge from Web Images for Zero-Shot Event Detection and Recounting in Videos.,2017,AAAI
Goren Gordon_Cynthia Breazeal,Bayesian Active Learning-Based Robot Tutor for Children's Word-Reading Skills.,2015,AAAI
Yikang Shen_Wenge Rong_Nan Jiang_Baolin Peng_Jie Tang_Zhang Xiong,Word Embedding Based Correlation Model for Question/Answer Matching.,2017,AAAI
