author,title,year,conference
Achille Fokoue_Felipe Meneguzzi_Murat Sensoy_Jeff Z. Pan,Querying Linked Ontological Data through Distributed Summarization.,2012,AAAI
Jing He_Xin Li 0033_Lejian Liao_Dandan Song_William K. Cheung,Inferring a Personalized Next Point-of-Interest Recommendation Model with Latent Behavior Patterns.,2016,AAAI
Daniel Peebles_Hong Lu_Nicholas D. Lane_Tanzeem Choudhury_Andrew T. Campbell,Community-Guided Learning: Exploiting Mobile Sensor Users to Model Human Behavior.,2010,AAAI
Martin Kronegger_Martin Lackner_Andreas Pfandler_Reinhard Pichler,A Parameterized Complexity Analysis of Generalized CP-Nets.,2014,AAAI
Charalampos Nikolaou_Manolis Koubarakis,Fast Consistency Checking of Very Large Real-World RCC-8 Constraint Networks Using Graph Partitioning.,2014,AAAI
Chenjun Xiao_Martin Müller 0003,Factorization Ranking Model for Move Prediction in the Game of Go.,2016,AAAI
Jifan Chen_Qi Zhang_Pengfei Liu_Xuanjing Huang,Discourse Relations Detection via a Mixed Generative-Discriminative Framework.,2016,AAAI
Zhenglu Yang_Lin Li 0001_Botao Wang_Masaru Kitsuregawa,Towards Efficient Dominant Relationship Exploration of the Product Items on the Web.,2007,AAAI
Minghai Chen_Guiguang Ding_Sicheng Zhao_Hui Chen_Qiang Liu_Jungong Han,Reference Based LSTM for Image Captioning.,2017,AAAI
Ronen I. Brafman_Yagil Engel,Decomposed Utility Functions and Graphical Models for Reasoning about Preferences.,2010,AAAI
Laurent D. Michel_Michel Rueher,What's Hot in Constraint Programming.,2017,AAAI
Felix Schmitt_Hans-Joachim Bieg_Michael Herman_Constantin A. Rothkopf,I See What You See: Inferring Sensor and Policy Models of Human Real-World Motor Behavior.,2017,AAAI
Sheng Wang_Fangtao Li_Ming Zhang 0004,Supervised Topic Model with Consideration of User and Item.,2013,AAAI
Robert Cohn_Edmund H. Durfee_Satinder P. Singh,Comparing Action-Query Strategies in Semi-Autonomous Agents.,2011,AAAI
Bo Jin 0001_Haoyu Yang_Cao Xiao_Ping Zhang_Xiaopeng Wei_Fei Wang 0001,Multitask Dyadic Prediction and Its Application in Prediction of Adverse Drug-Drug Interaction.,2017,AAAI
Suvash Sedhain_Aditya Krishna Menon_Scott Sanner_Lexing Xie_Darius Braziunas,Low-Rank Linear Cold-Start Recommendation from Social Data.,2017,AAAI
Bin Cao 0001_Dou Shen_Kuansan Wang_Qiang Yang 0001,Clickthrough Log Analysis by Collaborative Ranking.,2010,AAAI
James Pita_Manish Jain_Fernando Ordóñez_Christopher Portway_Milind Tambe_Craig Western_Praveen Paruchuri_Sarit Kraus,ARMOR Security for Los Angeles International Airport.,2008,AAAI
Hélène Fargier_Pierre Marquis,Extending the Knowledge Compilation Map: Krom Horn Affine and Beyond.,2008,AAAI
Xiaowei Xue_Feiping Nie_Sen Wang_Xiaojun Chang_Bela Stantic_Min Yao,Multi-View Correlated Feature Learning by Uncovering Shared Component.,2017,AAAI
Daniel Urieli_Peter Stone,TacTex'13: A Champion Adaptive Power Trading Agent.,2014,AAAI
Yu-Yin Sun_Michael K. Ng_Zhi-Hua Zhou,Multi-Instance Dimensionality Reduction.,2010,AAAI
Julien Leblay,A Declarative Approach to Data-Driven Fact Checking.,2017,AAAI
Xiang Zhang_Yann LeCun,Universum Prescription: Regularization Using Unlabeled Data.,2017,AAAI
