author,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,total
Yu-Shu Chen,0,0,1,0,0,0,0,0,0,0,0,1
Keren Ye,0,0,0,0,0,0,0,0,0,0,1,1
Michael Sass Hansen,0,2,0,0,0,0,0,0,0,0,0,2
Marie-Odile Cordier,1,0,0,0,0,0,0,0,0,0,0,1
Zhengzheng Xing,0,0,1,0,0,0,0,0,0,0,0,1
Benja Fallenstein,0,0,0,0,0,0,0,0,1,0,0,1
Bo Yang 0002,0,0,0,0,0,0,1,1,2,0,0,4
Franco Raimondi,1,0,0,0,0,0,0,0,1,0,1,3
Dvir Falik,0,0,0,0,0,0,1,0,0,0,0,1
Haoyuan Peng,0,0,0,0,0,0,0,0,1,0,1,2
Shengye Yan,1,1,0,0,0,0,0,0,0,0,0,2
Aman Agarwal,0,0,0,0,0,0,0,0,0,0,1,1
Ji Zhang,0,0,0,1,0,0,0,0,0,0,1,2
Oliver Williams,0,0,0,1,0,0,0,0,0,0,0,1
Erin Keenan,0,0,0,0,1,0,0,0,0,0,0,1
Parisa Lak,0,0,0,0,0,0,0,0,0,1,0,1
Ramakrishna Vedantham,0,0,0,0,1,0,0,0,0,0,0,1
Nikita Kostromov,0,0,0,0,0,0,0,0,0,1,0,1
Zhiping Mu,0,0,0,0,0,0,0,0,0,1,0,1
Jun Du,0,1,0,0,0,0,0,0,1,0,0,2
Viet Ha-Thuc,0,0,1,0,0,0,0,0,0,3,0,4
Minlue Wang,0,0,0,0,0,0,1,0,0,0,0,1
Emmanuel Malherbe,0,0,0,0,0,0,0,0,1,0,0,1
Rachel K. E. Bellamy,0,0,0,0,0,0,0,0,0,1,0,1
Chia-Te Liao,0,0,0,1,0,0,0,0,0,0,0,1
Prem Natarajan,0,0,0,0,0,0,0,0,0,2,0,2
Martin Trudeau,1,0,0,0,0,0,0,0,0,0,0,1
Cun Mu,0,0,0,0,0,0,0,1,1,0,0,2
Ismet Zeki Yalniz,0,0,0,0,0,2,0,0,0,0,0,2
Quan Yuan,1,2,1,1,0,1,2,1,3,3,4,19
Claude Castelluccia,0,0,0,0,0,0,0,1,0,0,0,1
Wei Zhang 0058,0,0,0,0,0,0,0,1,0,0,0,1
William Browuer,0,1,0,0,0,0,0,0,0,0,0,1
Bertrand Michel,0,0,0,0,0,0,0,0,0,1,0,1
Wei Zhang 0056,0,0,0,0,0,0,2,0,2,1,0,5
Zhen Qiu,0,0,0,0,0,0,0,0,0,2,0,2
Foster J. Provost,0,1,2,1,1,2,3,2,1,0,0,13
Kyungyeol Park,0,0,0,0,0,0,1,0,0,0,0,1
James E. Clune,1,0,0,0,0,0,0,0,0,0,0,1
Thomas Roth-Berghofer,1,0,0,0,0,0,0,0,0,0,0,1
Younghun Kim,0,0,0,0,0,0,1,0,0,0,0,1
Tran Cao Son,1,2,1,1,5,1,0,1,2,3,3,20
Ehsan Emamjomeh-Zadeh,0,0,0,0,0,0,0,0,0,0,1,1
Dorothea Wiesmann,0,0,0,0,0,0,0,0,1,1,0,2
José Lezama,0,0,0,0,0,0,0,1,0,0,1,2
Kaichun Mo,0,0,0,0,0,0,0,0,0,1,1,2
Zhen Qin,0,0,0,0,0,1,0,1,0,0,0,2
Mario Rodríguez,0,0,0,0,0,0,0,0,0,0,1,1
Chunhua Tian,0,0,0,0,0,0,1,0,0,0,0,1
Wen Gao 0001,1,5,3,5,2,1,1,2,4,4,1,29
James J. Little,3,0,0,0,1,0,0,1,0,1,1,7
Diedrich Wolter,0,0,0,0,0,0,1,0,0,1,0,2
Tom A. M. Kevenaar,0,2,0,0,0,0,0,0,0,0,0,2
Maya Ramanath,0,0,0,1,0,1,0,0,0,0,0,2
Ho-Pun Lam,0,0,0,0,0,0,0,0,0,1,0,1
Simon Lacroix,0,0,0,0,0,0,0,0,0,1,0,1
Alexander Kläser,0,0,0,0,1,0,0,0,0,0,0,1
Jun Karamon,0,1,0,0,0,0,0,0,0,0,0,1
Kofi Malcolm Collins-Sibley,0,0,0,0,0,0,0,0,1,0,0,1
Sofia Gourgari,0,0,0,0,0,0,1,0,0,0,0,1
Andrew Temlyakov,0,0,1,1,0,0,0,0,0,0,0,2
Jens Otto,0,0,0,0,0,0,0,0,1,0,0,1
Xiaoyang Tan,0,0,1,0,0,0,0,1,0,0,0,2
Tess Winlock,0,0,0,1,0,0,0,0,0,0,0,1
Marta C. González,0,0,0,0,0,0,0,0,0,1,0,1
Lihi Naamani Dery,0,0,0,0,0,1,0,0,1,0,0,2
Julian McAuley,0,0,0,0,0,0,0,0,0,2,2,4
Oncel Tuzel,1,1,0,2,1,0,1,1,1,4,1,13
Marjan Shahpaski,0,0,0,0,0,0,0,0,0,0,1,1
Karen Johnson,0,0,0,0,0,0,0,0,0,1,0,1
John Tstotsos,0,0,0,0,0,0,0,0,0,1,0,1
Xuan Zhou 0001,0,0,0,1,0,0,1,0,0,0,0,2
Yunan Ye,0,0,0,0,0,0,0,0,0,0,1,1
Peng Bai,0,1,0,0,0,0,0,0,0,0,0,1
Mihály Jakob,1,0,0,0,0,0,0,0,0,0,0,1
Desai Fan,0,0,0,0,0,0,0,0,0,0,1,1
Nicolas Le Roux,2,0,0,0,1,2,0,0,0,0,0,5
Michael Collins 0001,1,1,1,0,0,1,0,0,1,0,0,5
Shizhong Han,0,0,0,0,0,0,0,1,0,1,0,2
Alexandre Petillon,0,0,0,0,0,0,0,0,0,1,0,1
Minh-Tri Pham,1,1,0,2,0,0,0,2,1,0,0,7
Hai Li 0001,0,0,0,0,0,0,0,0,0,1,0,1
Jason St. Jacques,0,0,0,0,0,0,0,0,0,1,0,1
Biagio Brattoli,0,0,0,0,0,0,0,0,0,0,1,1
K. S. Venkatesh,0,0,0,0,1,0,0,0,0,0,0,1
Vijay Kumar 0001,0,0,0,0,0,1,0,0,0,0,0,1
Joseph DeGol,0,0,0,0,0,0,0,0,0,1,0,1
Yuan Shen,1,0,0,0,0,0,0,0,0,0,0,1
Tianshi Chen,0,0,0,0,2,0,0,0,0,0,0,2
Matthias Mueller,0,0,0,0,0,0,0,0,0,0,1,1
Roberto Martín-Martín,0,0,0,0,0,0,0,0,0,0,1,1
Pritam Gundecha,0,0,0,0,1,0,1,0,0,0,0,2
Shabnam N. Kadir,0,0,0,0,0,0,0,0,0,1,0,1
Xiaoyuan Xu,0,0,0,1,0,0,0,0,0,0,0,1
Rose Yu,0,0,0,0,0,0,0,0,0,1,0,1
Wen-Yu Hua,0,0,0,0,0,0,1,0,0,0,0,1
Mayank Singh,0,0,0,0,0,0,0,0,0,0,1,1
Günther Charwat,0,0,0,0,0,0,0,0,0,1,0,1
Wayne Xin Zhao,0,0,0,0,1,1,1,1,1,2,2,9
Jiajun Bu,3,2,3,2,2,4,3,4,0,2,0,25
Bruno Korbar,0,0,0,0,0,0,0,0,0,1,1,2
Wen Zhang,0,0,1,0,0,0,0,0,0,1,0,2
Xia Hua,0,0,0,0,0,1,0,0,0,0,0,1
Donald Metzler,3,0,2,2,4,1,0,0,0,1,0,13
Song Zuo,0,0,0,0,0,0,0,0,1,2,2,5
Luke K. McDowell,1,0,0,0,0,0,0,0,0,0,0,1
Yulu Wang,0,0,0,0,0,0,0,0,1,0,0,1
Ryota Tomioka,1,0,0,1,1,1,1,1,2,1,1,10
Ana L. C. Bazzan,1,0,0,0,0,0,0,0,2,0,0,3
Michel Lemaître,1,0,0,0,0,0,0,0,0,0,0,1
Luis J. Salazar,0,0,0,0,0,0,0,0,1,0,0,1
Miljan Martic,0,0,0,0,0,0,0,0,0,0,1,1
Hironori Hattori,0,0,0,0,0,0,0,0,1,0,0,1
Oliver Kramer,0,0,0,0,0,0,0,0,1,0,0,1
Alexander Krull,0,0,0,0,0,0,0,0,0,1,3,4
Pei Yang,0,0,0,0,0,0,1,0,1,0,1,3
Thierry Artières,0,0,0,0,0,0,1,0,0,0,0,1
Divesh Srivastava,1,0,0,0,0,0,0,1,0,0,0,2
Dietmar Müller,0,0,0,0,0,0,0,0,1,0,0,1
Pengfei Liu,0,0,0,0,0,0,0,0,1,2,2,5
Fatima Silva Leite,0,0,0,0,0,0,1,0,0,0,0,1
Ji Wan,0,0,0,0,0,0,0,1,1,0,1,3
Ahna R. Girshick,0,0,0,0,0,0,0,0,0,0,1,1
Jeng-Hau Lin,0,0,0,0,0,0,0,0,0,0,1,1
Feng Liang,0,1,1,1,0,1,1,2,0,0,0,7
Weifeng Lv,0,0,0,0,0,0,0,0,0,0,1,1
Rafael C. Carrasco,0,0,0,0,0,0,1,0,0,0,0,1
Yong Dou,0,0,0,0,0,0,0,0,1,2,5,8
Ziheng Zhou,0,0,0,0,1,0,0,0,0,0,0,1
Alek Kolcz,0,0,0,0,0,0,0,1,0,0,0,1
Ruizhi Qiao,0,0,0,0,0,0,0,0,0,1,0,1
Yi Chen,0,0,1,0,0,0,0,0,1,0,1,3
Yong Luo,0,0,0,0,0,0,1,1,1,1,3,7
Tom Gedeon,0,0,1,0,0,0,0,0,0,0,0,1
Luís C. Lamb,2,1,0,1,3,0,0,0,1,0,0,8
Matthew David Luciw,0,0,0,0,0,0,1,0,0,0,0,1
Michael Kaufmann 0001,1,0,0,0,0,0,0,0,0,0,0,1
Kshitiz Gupta,0,0,0,0,0,0,0,0,0,0,1,1
Geoffrey G. Parker,0,0,0,0,0,0,0,0,1,0,0,1
Jiawei Rong,1,0,0,0,0,0,0,0,0,0,0,1
Gilbert L. Peterson,0,0,0,0,0,0,0,0,0,0,1,1
Robert D. Nowak,1,3,1,1,1,1,2,1,2,1,3,17
Neil Zeghidour,0,0,0,0,0,0,0,0,0,0,1,1
Laura Dietz,0,0,1,0,0,0,0,1,0,0,2,4
Trevor Owens,0,0,0,0,1,0,0,0,0,0,0,1
Frederic Devernay,0,0,0,0,0,1,0,1,0,0,2,4
Sriganesh Madhvanath,0,0,0,0,0,0,0,0,0,0,1,1
Kenny Daniel,1,0,0,0,0,0,0,0,0,0,0,1
Xavier Goaoc,0,0,0,1,0,0,0,0,0,0,0,1
Amanda Thart,0,0,0,0,0,0,0,0,1,1,0,2
Bin Yang,0,0,0,1,0,0,0,0,0,1,0,2
S. Karthikeyan,0,0,0,0,0,0,0,0,1,0,0,1
Dmitry Lagun,0,0,0,0,2,1,4,2,1,0,0,10
Paul B. Kantor,0,1,0,0,1,1,0,0,1,0,0,4
Dean Oliver,0,0,0,0,0,0,1,0,0,0,0,1
Robert S. Sinkovits,0,0,0,0,1,0,0,0,0,0,0,1
Jake Snell,0,0,0,0,0,0,0,0,0,0,1,1
Pavlo Molchanov,0,0,0,0,0,0,0,0,1,1,0,2
AmirMahdi Ahmadinejad,0,0,0,0,0,0,0,0,0,1,0,1
Chuck Rosenberg,0,0,0,0,0,0,0,1,1,0,0,2
Diego Ceccarelli,0,0,0,0,0,0,0,0,0,1,0,1
Jean Choi,0,0,0,0,0,0,0,0,1,0,0,1
Benjamin Solecki,0,0,0,0,0,0,2,0,0,0,0,2
Xin Li 0033,0,0,0,0,0,0,0,0,0,2,2,4
Aniket Anand Deshmukh,0,0,0,0,0,0,0,0,0,0,1,1
Subhabrata Bhattacharya,0,0,0,0,1,0,0,1,0,0,0,2
Peter F. Patel-Schneider,0,0,0,0,0,0,0,1,1,0,0,2
Ben Glocker,0,3,1,0,0,0,1,1,0,1,0,7
Tanya Schmah,0,1,0,0,0,0,0,0,0,0,0,1
Ruisheng Wang,0,1,0,0,0,1,0,0,0,0,0,2
Christoph Schnörr,0,0,0,0,1,1,3,1,0,1,0,7
Michael Eckmann,0,1,0,0,0,0,0,0,0,0,0,1
Aravind Mohan,0,0,0,0,0,0,0,0,1,0,0,1
Efthymia Tsamoura,0,0,0,0,0,0,0,0,0,0,1,1
Álvaro Barreiro,0,0,0,0,0,0,0,0,0,0,1,1
Johannes Partzsch,0,0,0,0,0,1,0,0,0,0,0,1
Michael Jakl,0,0,1,0,0,0,0,0,0,0,0,1
Daniel Cohen-Or,0,1,0,0,0,0,1,0,1,0,0,3
Pirooz Chubak,0,0,0,0,0,0,0,0,1,0,0,1
Giovanni Zappella,0,0,0,1,1,1,1,0,0,0,0,4
James J. Bennett,0,0,0,1,0,0,0,0,0,0,0,1
Harmony Rhoades,0,0,0,0,0,0,0,0,1,0,0,1
Sidney S. Fels,2,0,0,0,0,0,0,0,0,0,0,2
Xiao Qin 0003,0,0,0,0,0,0,0,0,0,0,1,1
Takuya Kida,0,0,0,0,0,0,0,0,0,0,2,2
Joxan Jaffar,0,1,0,0,0,0,0,0,0,0,0,1
Thinh P. Nguyen,0,1,0,0,0,0,0,0,0,0,0,1
Hari Sundaram,0,0,1,0,0,0,0,0,1,0,0,2
Olga Saukh,0,0,0,0,0,1,0,0,0,0,0,1
Balint Miklos,0,0,0,0,0,0,0,0,0,1,0,1
Zhou Liu,1,0,0,0,0,0,0,0,0,0,0,1
G. Dinesh,0,0,1,0,0,0,0,0,0,0,0,1
Yinhai Wang,0,0,0,0,0,0,0,0,0,0,1,1
Gina Otts,0,0,0,0,0,0,0,0,0,0,1,1
Michael Wasikowski,0,1,0,0,0,0,0,0,0,0,0,1
Abdullah Al-Dujaili,0,0,0,0,0,0,0,0,0,0,1,1
Dmitry Pechyony,1,0,0,1,0,0,0,0,0,0,0,2
Hossein Azizpour,0,0,0,0,0,0,0,1,1,0,0,2
Howard S. Cohl,0,0,0,0,0,0,0,0,1,1,0,2
Wenting Tu,0,0,0,0,0,0,0,0,3,2,1,6
Andrej Muhic,0,0,0,0,0,0,0,0,0,0,1,1
Junlong Zhou,0,0,0,0,0,0,1,0,0,0,0,1
Eran Malach,0,0,0,0,0,0,0,0,0,0,1,1
Mahmood Fathy,0,0,0,0,0,0,0,0,1,0,0,1
Emre Yamangil,0,0,0,0,0,0,0,0,1,0,0,1
Thomas Leo McCluskey,0,0,0,0,0,0,1,0,2,1,1,5
Feng Chen 0007,0,0,0,0,0,1,1,0,0,0,0,2
Alain Trouvé,0,0,0,0,1,0,0,0,0,1,0,2
Feng Chen 0001,0,0,0,1,1,0,2,3,1,4,1,13
Tomas Lööw,0,0,0,0,1,0,0,0,0,0,0,1
Jun Yin,0,0,0,1,0,0,0,0,0,1,0,2
Robert Bredereck,0,0,0,0,0,1,1,1,1,2,3,9
Viren Jain,0,1,0,1,1,0,0,0,0,1,0,4
Massimiliano Nitti,0,0,0,0,0,0,1,0,0,0,0,1
David López-Paz,0,0,0,0,0,1,1,0,0,0,0,2
Grigoris Antoniou,1,2,0,1,1,1,0,0,1,0,0,7
DeLiang Wang,0,0,0,0,0,1,0,0,0,0,0,1
Yicong Zhou,0,0,0,0,0,0,0,0,0,1,0,1
Afzal Godil,0,0,0,0,0,1,1,0,0,0,0,2
Federica Fergnani,0,0,0,0,0,0,0,0,0,1,0,1
Xiaodi Hou,1,1,0,0,0,0,1,1,0,0,1,5
Madison Clark-Turner,0,0,0,0,0,0,0,0,0,0,1,1
Alexander Skopalik,0,0,0,0,2,0,0,0,0,0,0,2
Nathan Gilbert,0,0,0,0,0,1,0,0,0,0,0,1
Siddhartha Chaudhuri,0,0,0,0,0,0,0,0,0,0,1,1
Rodney Martin,0,0,0,0,0,0,0,0,0,2,0,2
Venkat Lakshmi,0,0,1,0,0,0,0,0,0,0,0,1
Laëtitia Matignon,0,0,0,0,0,1,0,0,0,0,0,1
Valentin Mayer-Eichberger,0,0,0,0,0,0,0,0,1,1,0,2
Khuram Shahid,0,0,0,0,1,0,0,0,0,0,0,1
Li Shen,0,0,0,0,0,0,1,0,1,1,1,4
Ganbin Zhou,0,0,0,0,0,0,0,0,0,1,1,2
Yuan-Ting Hu,0,0,0,0,0,0,0,0,0,1,1,2
John Femiani,0,0,1,0,0,0,0,0,0,0,0,1
Jérôme Meessen,1,0,0,0,0,0,0,0,0,0,0,1
Seth Lemons,0,0,1,0,0,0,0,0,0,0,0,1
Daniel Nikolaev Nikovski,0,0,0,0,0,0,0,0,0,1,0,1
Bronwyn Woods,0,0,0,0,0,0,0,0,0,0,1,1
Sophie Pinchinat,0,0,0,0,0,0,1,0,0,0,0,1
Burak Gokturk,0,0,0,0,1,0,0,0,0,0,0,1
Shabbir Ahmed,0,0,0,0,0,0,0,0,0,0,1,1
Xuanyi Dong,0,0,0,0,0,0,0,0,0,0,1,1
Yosuke Bando,0,0,0,0,0,0,1,0,0,0,0,1
Alan F. T. Winfield,0,0,0,0,0,0,0,0,1,0,0,1
Mario E. Munich,0,0,1,0,0,0,0,0,0,0,0,1
Farid Boussaïd,0,0,0,0,0,0,0,0,0,0,1,1
Karin Strauss,0,0,0,0,0,0,0,0,0,0,1,1
Donghoon Lee,0,0,0,0,0,0,0,0,1,0,0,1
John F. Elder IV,0,0,0,0,1,0,0,0,0,0,0,1
Hani Itani,0,0,0,0,0,0,0,0,0,0,1,1
S. Shankar Sastry,0,1,0,0,0,1,1,0,0,0,0,3
Matthew Burgess,0,0,0,0,0,0,0,0,0,1,0,1
Yana Volkovich,0,0,0,0,0,0,0,1,0,0,0,1
Clemente Galdi,0,0,0,0,0,0,0,0,0,1,0,1
Wen-Hao Chen,0,0,0,0,0,0,0,0,0,0,1,1
Kristina Star,0,1,0,0,0,0,0,0,0,0,0,1
Yangyan Li,0,0,0,0,0,0,0,0,0,1,0,1
Jifeng Ning,0,0,0,0,0,0,0,0,0,1,0,1
Chris Pal,4,0,0,0,0,0,0,0,0,0,1,5
Parastoo Sadeghi,1,0,0,0,0,0,0,0,0,0,0,1
Roy Dong,0,0,0,0,0,1,0,0,0,0,0,1
Greg G. Slabaugh,1,0,0,0,0,0,0,0,0,1,0,2
Keith Grochow,1,0,0,0,0,0,0,0,0,0,0,1
Qixing Huang,0,0,0,0,0,0,0,1,0,3,2,6
Jefersson Alex dos Santos,0,0,0,0,0,0,0,0,1,0,0,1
Yongfeng Huang,0,0,0,0,0,0,0,0,1,1,1,3
Matthew Eric Otey,0,0,0,0,1,0,0,0,0,0,0,1
Xiaojun Chang,0,0,0,0,0,0,0,1,2,3,9,15
Yun Zhou 0002,0,0,0,0,0,0,0,0,0,0,1,1
Yun Zhou 0001,0,0,0,0,0,0,1,0,0,0,0,1
Vernon Asuncion,0,0,0,1,0,1,0,1,0,0,1,4
Erik Ordentlich,0,0,0,0,0,0,0,0,0,1,0,1
Sundeep Rangan,0,1,2,0,1,1,0,1,0,0,1,7
Bethany Hoogs,0,0,0,0,0,0,1,0,0,0,0,1
Paul Wild,0,0,0,0,0,0,0,0,0,0,1,1
Gu Xu,0,1,2,0,0,0,1,0,0,0,0,4
Stephan Mandt,0,0,0,0,0,0,0,1,0,1,2,4
Nathan Wiebe,0,0,0,0,0,0,0,0,0,1,0,1
Budhendra L. Bhaduri,0,1,0,0,0,0,0,0,0,0,0,1
William Jarrold,0,0,0,0,0,0,0,1,0,0,0,1
Tatsunori Taniai,0,0,0,0,0,0,0,1,1,1,1,4
Yongrui Qin,0,0,0,0,0,0,0,0,1,1,0,2
Hakan Boyraz,0,0,0,0,1,0,0,0,0,0,0,1
Fei Xu,0,2,1,0,0,1,0,0,0,1,2,7
Sanghyuk Yoon,0,0,0,0,0,1,0,0,0,0,0,1
Xinran He,0,0,0,0,0,0,0,2,0,2,0,4
Xiuyao Song,1,1,1,0,0,0,0,0,0,0,0,3
Ofir Nachum,0,0,0,0,0,0,0,0,0,0,1,1
Jakob H. Macke,2,0,1,0,2,1,1,2,1,0,3,13
Ye-Hoon Kim,0,0,0,0,0,0,0,0,0,0,1,1
Julia Hockenmaier,0,0,0,0,0,1,1,0,1,0,0,3
Dale A. Brajczuk,0,0,1,0,0,0,0,0,0,0,0,1
Antoine Snijders,0,0,0,0,0,0,0,0,0,0,1,1
Roberto Santoro 0002,0,0,0,0,0,0,0,0,0,1,0,1
Miguel R. D. Rodrigues,0,0,0,0,0,0,1,0,0,0,0,1
Zhao Yan,0,0,0,0,0,0,0,0,1,1,1,3
Gediminas Luksys,0,1,0,0,0,0,0,0,0,0,0,1
Alan Said,0,0,0,0,0,1,1,0,0,0,0,2
Ghassan Hamarneh,0,1,1,3,0,0,0,0,0,0,0,5
Ian Wong,0,0,0,0,0,1,0,0,0,0,0,1
Bruce R. Schatz,0,1,0,0,0,0,0,0,0,0,0,1
Charles Dubout,0,0,0,0,1,0,1,0,0,0,0,2
David Sanchez-Charles,0,0,0,0,0,0,0,0,1,0,0,1
Yulong Zeng,0,0,0,0,0,0,0,0,0,0,1,1
Hao Yin,0,0,0,0,0,0,0,0,0,0,1,1
Grace Hui Yang,0,0,0,0,0,0,0,0,0,2,0,2
Sohaib Khan,0,1,1,0,0,0,0,0,0,0,0,2
Meghna Lowalekar,0,0,0,0,0,0,0,0,0,1,0,1
Dragomir Yankov,1,0,0,0,0,0,1,0,0,0,1,3
Leonardo Dueñas-Osorio,0,0,0,0,0,0,0,0,0,0,1,1
Andrew P. Aitken,0,0,0,0,0,0,0,0,0,1,2,3
Caterina Mordente,0,0,0,0,0,0,0,0,0,0,1,1
Michel Antunes,0,0,0,0,0,0,1,0,1,0,1,3
Jack Saalweachter,0,0,0,0,0,0,0,0,0,1,0,1
Johannes Fürtler,0,0,0,0,0,1,0,0,0,0,0,1
Huitong Qiu,0,0,0,0,0,0,0,0,1,0,0,1
Darshan Bryner,0,0,0,0,0,1,1,1,0,0,0,3
Cheng Li 0003,0,0,0,0,0,0,0,0,0,0,1,1
Cheng Li 0002,0,0,0,0,0,0,0,0,1,1,0,2
Yijuan Lu,0,1,0,0,0,0,0,0,0,0,0,1
Mark Johnson,1,0,0,1,0,0,0,0,1,0,0,3
Daniel Dovrat,0,0,0,0,0,0,0,0,0,0,1,1
Joel Nishimura,0,0,0,0,0,0,1,0,0,0,0,1
Julius Wang,0,0,0,0,0,0,0,0,0,0,1,1
Anchit Gupta,0,0,0,0,0,0,0,0,0,0,1,1
O. P. Concha,0,0,0,0,1,0,0,0,0,0,0,1
Sjoerd van Steenkiste,0,0,0,0,0,0,0,0,0,0,1,1
Frans A. Oliehoek,0,0,0,0,1,0,0,0,4,5,1,11
Wei Cheng,0,0,0,0,0,0,1,0,0,1,2,4
Zhaoyang Yang,0,0,0,0,0,0,0,0,0,0,1,1
Ali Diba,0,0,0,0,0,0,1,0,0,1,2,4
Prashanth L. A.,0,0,0,0,0,0,1,0,1,0,1,3
Jian Cheng Lv,0,0,0,0,0,0,0,1,0,0,0,1
Stefano Bromuri,0,0,0,1,0,0,1,0,0,0,0,2
Kenneth N. Brown,1,0,0,0,1,0,0,0,0,0,0,2
Wubai Zhou,0,0,0,0,0,0,1,1,0,0,2,4
Andrew Wilson,0,0,0,0,0,0,0,0,0,0,3,3
José Alonso Ybáñez Zepeda,1,0,0,0,0,0,0,0,0,0,0,1
Wolfram Burgard,3,0,1,0,0,1,2,1,0,0,0,8
David W. Embley,0,0,0,0,0,0,0,0,1,0,0,1
Pushkar Chitnis,0,0,0,0,0,0,0,0,0,1,0,1
Zhi-Hong Deng,0,0,0,0,0,0,0,1,2,1,1,5
Wuying Liu,0,0,0,1,0,0,0,1,0,0,0,2
Qiong Fang,0,0,0,1,0,0,0,0,0,0,0,1
Qin Zhang 0001,0,0,0,0,0,0,1,0,0,1,1,3
Hatice Gunes,0,0,0,0,1,0,0,0,0,1,0,2
Eric Rozier,0,0,0,0,0,0,0,0,1,0,0,1
Qin Zhang 0005,0,0,0,1,0,0,0,0,0,0,0,1
Zhiyu Mo,0,0,0,0,0,0,0,0,1,0,0,1
Hanbyul Joo,0,0,0,0,0,0,0,1,0,0,1,2
Yuval Merhav,0,1,0,1,0,0,0,0,0,0,0,2
M. Brandon Westover,0,0,0,0,0,1,0,0,0,0,0,1
Federica Bisio,0,0,0,0,0,0,0,0,1,0,0,1
Lu Hou,0,0,0,0,0,0,0,0,0,1,0,1
Qiwei Ye,0,0,0,0,0,0,0,0,0,1,1,2
Lalit Jain,0,0,0,0,0,0,0,0,1,1,1,3
Haiyong Zheng,0,0,0,0,0,0,0,0,0,1,0,1
Ronen Basri,2,2,1,1,1,0,0,0,0,1,1,9
Andrew S. Lan,0,0,0,0,0,0,0,1,0,0,1,2
Naiyan Wang,0,0,0,0,2,0,3,0,3,0,1,9
Ulit Jaidee,0,0,0,0,1,0,0,0,0,0,0,1
David Berends,0,0,0,0,0,0,1,0,0,0,0,1
Javier A. Montoya-Zegarra,0,0,0,0,0,0,1,0,0,0,0,1
Ting Hua,0,0,0,0,0,0,1,1,0,1,0,3
Wenbin Du,0,0,0,0,0,0,0,0,2,0,0,2
Fiammetta Ghedini,0,0,0,0,0,0,0,0,1,0,0,1
Yaqing Zhang,0,0,0,0,0,0,0,0,0,1,0,1
Lichan Hong,0,0,0,0,0,0,0,0,0,0,1,1
Maha Alabduljalil,0,0,0,0,0,0,1,1,0,0,0,2
Jayadev Acharya,0,0,0,0,0,1,1,1,1,0,0,4
Stewart Hall,0,0,0,0,0,0,0,0,0,0,1,1
Shih-Hsien Yang,0,0,0,0,1,0,0,0,0,0,0,1
Vittorio Murino,0,2,3,4,0,2,0,1,3,1,3,19
Rina Foygel Barber,0,0,0,0,0,0,0,0,1,1,0,2
Alvaro Francisco Huertas-Rosero,0,0,0,0,0,0,0,0,0,1,0,1
Chang Wen Chen,0,0,0,0,0,0,0,0,0,0,3,3
Alexandre Drouin,0,0,0,0,0,0,1,0,0,0,1,2
Ujwal Gadiraju,0,0,0,0,0,0,0,0,0,1,0,1
Joseph J. Pfeiffer III,0,0,0,0,0,0,0,0,1,0,0,1
Ramin Zabih,0,0,0,1,0,0,0,1,0,1,0,3
Sukhendu Das,0,0,0,0,0,0,0,0,0,1,1,2
Gérard Subsol,0,0,0,0,0,0,0,0,0,1,0,1
Qin Jin,1,0,0,0,0,0,0,1,0,0,0,2
Zhiheng Xu,0,0,0,0,0,2,0,0,0,0,0,2
Rahul Pandey,0,0,0,0,0,0,0,0,1,0,0,1
Chi Nhan Duong,0,0,0,0,0,0,0,0,1,1,1,3
Tong Guan,0,0,0,0,0,0,0,0,0,0,1,1
Oscar Veliz,0,0,0,0,0,0,0,0,0,1,0,1
Mino De Raj,0,0,0,0,0,0,0,1,0,0,0,1
Akin Günay,0,0,0,0,0,0,0,0,1,0,1,2
Min Liu,0,0,1,1,0,0,0,0,0,0,0,2
Anying Xu,0,0,0,0,0,0,0,1,0,0,0,1
Eckart Michaelsen,0,0,0,0,0,0,1,0,0,0,0,1
Jessa Bekker,0,0,0,0,0,0,0,0,1,0,0,1
Brian Charles Williams,0,0,0,0,0,1,2,2,6,3,1,15
Ofer Arieli,1,1,0,2,1,0,0,0,0,1,0,6
Yao Wu,0,0,0,0,0,1,0,0,0,0,0,1
Min Lin,0,0,0,0,0,0,0,0,0,0,1,1
Zheng Wen,0,0,0,0,0,0,2,1,2,0,2,7
Haroon Idrees,0,0,0,0,0,0,1,2,0,1,0,4
Frederic Koehler,0,0,0,0,0,0,0,0,0,0,1,1
Joshua D. Nasman,0,0,0,1,0,1,1,0,0,0,0,3
Ricardo da Silva Torres,0,1,0,0,0,0,0,0,0,0,0,1
Wanli Ouyang,0,0,0,1,0,1,3,2,2,7,8,24
Bobo Nick,0,0,0,0,0,0,1,0,0,0,0,1
Xingyu Liu,0,0,0,0,0,0,0,0,0,0,1,1
Adrian Wills,0,0,0,0,0,0,0,0,0,0,1,1
Felix A. Fischer,2,1,0,0,0,1,0,0,0,0,0,4
Chris Clifton,0,0,0,0,0,1,0,0,0,0,0,1
Jacob Rosenbloom,0,0,0,0,0,0,0,0,1,0,0,1
Jerid Francom,0,0,0,0,0,0,0,0,1,0,0,1
Yong Xia,0,0,0,0,0,0,0,0,1,0,0,1
Philipp Tiefenbacher,0,0,0,0,0,1,0,0,1,0,0,2
Thomas Helten,0,0,0,1,0,0,0,0,0,0,0,1
